Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,FatherQual,PrevQual,MotherQual,Course_Field,MotherOcc_Simple,FatherOcc_Simple,ApplicationMode_Simple,ApplicationOrder_Simple,MaritalStatus_Simple,Nationality_Simple
Single,International student (bachelor),1,Social Service,Daytime,Secondary education,Santomean,General commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,Yes,No,Yes,No,Male,No,22,Yes,0,6,6,5,11.5,0,0,6,6,5,12.4,0,13.9,-0.3,0.79,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,International,1,Single,Africa
Single,2nd phase—general contingent,3,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Master’s Degree,Administrative Staff,Scientific Specialists,No,No,No,Yes,Male,No,20,No,0,6,6,6,14.166666666666666,0,0,6,6,6,12.333333333333334,0,11.1,0.6,2.02,Graduate,Doctorate,Secondary/Technical,Secondary/Technical,Communication,Skilled,Professional,General,3,Single,Portuguese
Married,Transfer,1,Management (evening attendance),Evening,Secondary education,Portuguese,Higher Education Degree,Bachelor’s Degree,Scientific Specialists,Scientific Specialists,No,No,No,Yes,Male,No,27,No,2,2,2,2,12.5,0,0,5,5,2,12.5,0,12.7,3.7,-1.7,Enrolled,HigherEd,Secondary/Technical,HigherEd,Management,Professional,Professional,Transfer/Other,1,Married,Portuguese
Married,Over 23 years old,1,Informatics Engineering,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Student,Service/Sales/Security,No,No,Yes,Yes,Male,No,30,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary/Technical,Secondary/Technical,Engineering,Unemployed,LowSkill,Unknown,1,Married,Portuguese
Single,Over 23 years old,1,Informatics Engineering,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Administrative Staff,No,No,No,Yes,Male,No,34,No,0,5,5,0,0.0,0,0,5,5,1,11.0,0,10.8,1.4,1.74,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Engineering,Skilled,Skilled,Unknown,1,Single,Portuguese
Single,1st phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Service/Sales/Security,Administrative Staff,Yes,No,No,No,Male,No,20,No,0,6,6,2,10.5,0,0,6,6,0,0.0,0,10.8,1.4,1.74,Dropout,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,General,1,Single,Portuguese
Single,2nd phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Service/Sales/Security,Yes,No,No,Yes,Male,No,18,No,0,6,6,6,11.833333333333334,0,0,6,6,6,13.166666666666666,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,12th Year—not completed,Basic Education 3rd Cycle,Administrative Staff,Administrative Staff,No,No,No,Yes,Male,Yes,26,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary/Technical,Secondary_Incomplete,Agriculture,Skilled,Skilled,General,1,Single,Portuguese
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Skilled Industry Workers,No,No,No,Yes,Male,No,26,No,0,5,5,5,12.4,0,0,5,5,5,12.4,0,15.5,2.8,-4.06,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,Technical,Skilled,Unknown,1,Single,Portuguese
Single,Over 23 years old,2,Management,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Service/Sales/Security,Unskilled Workers,No,No,No,No,Male,No,26,No,0,5,5,2,10.5,0,0,5,5,0,0.0,0,10.8,1.4,1.74,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,2,Single,Portuguese
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,No,No,Yes,No,Male,No,31,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.4,0.5,1.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Single,Portuguese
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Unskilled Workers,Machine Operators,Yes,No,No,Yes,Male,Yes,20,No,6,12,12,12,14.583333333333334,0,4,11,11,11,14.333333333333334,0,8.9,1.4,3.51,Graduate,Basic,Secondary/Technical,Secondary/Technical,Arts,LowSkill,LowSkill,General,3,Single,Portuguese
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,7th Year (Old),Student,Student,Yes,No,No,Yes,Male,No,19,No,0,6,6,6,11.666666666666666,0,0,6,6,3,12.666666666666666,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,Unemployed,Unemployed,General,1,Single,Portuguese
Single,2nd phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,2nd cycle general high school,Higher Education Degree,Skilled Industry Workers,Scientific Specialists,Yes,No,Yes,No,Male,No,23,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,HigherEd,Secondary/Technical,Secondary/Technical,Management,Skilled,Professional,General,1,Single,Portuguese
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Administrative Staff,Yes,No,No,Yes,Male,Yes,20,No,0,7,7,1,13.0,0,0,7,7,0,0.0,0,11.1,0.6,2.02,Dropout,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,6,Single,Portuguese
Single,Change in institution/course,1,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Armed Forces,No,No,No,Yes,Male,No,20,No,0,7,7,7,15.66,0,7,10,10,9,15.011111111111113,0,11.1,0.6,2.02,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,Skilled,ArmedForces,Transfer/Other,1,Single,Portuguese
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,2nd cycle general high school,Unknown,Student,Student,Yes,No,No,Yes,Male,No,29,No,0,6,5,0,0.0,1,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Unknown,Secondary/Technical,Secondary/Technical,Social,Unemployed,Unemployed,Unknown,1,Single,Portuguese
Single,1st phase—general contingent,4,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Male,Yes,20,No,0,6,6,6,12.166666666666666,0,0,6,6,4,12.75,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,Skilled,Skilled,General,4,Single,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,24,No,0,7,7,6,13.3,0,0,7,7,6,13.3,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese
Single,Over 23 years old,1,Oral Hygiene,Daytime,Basic education 3rd cycle,Portuguese,Basic Edu 1st Cycle,Secondary Education,Technicians & Professionals,Skilled Industry Workers,No,No,No,Yes,Male,No,34,No,0,7,7,0,0.0,0,0,7,6,0,0.0,1,11.1,0.6,2.02,Dropout,Secondary/Technical,Basic,Basic,Health,Technical,Skilled,Unknown,1,Single,Portuguese
Single,1st phase—general contingent,5,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Administrative Staff,Administrative Staff,Yes,No,No,Yes,Male,No,18,No,0,7,7,0,0.0,0,0,8,8,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,5,Single,Portuguese
Single,1st phase—general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Bachelor’s Degree,Basic Education 3rd Cycle,Service/Sales/Security,Service/Sales/Security,Yes,No,Yes,No,Male,Yes,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout,Basic,Secondary/Technical,HigherEd,Arts,LowSkill,LowSkill,General,2,Single,Portuguese
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Higher Education Degree,Administrative Staff,Unskilled Workers,No,No,No,Yes,Male,No,18,No,0,8,8,7,13.55714285714286,0,0,8,8,7,13.55714285714286,0,12.7,3.7,-1.7,Graduate,HigherEd,Secondary/Technical,Secondary/Technical,Health,Skilled,LowSkill,General,1,Single,Portuguese
Married,Technological specialization diploma holders,1,Informatics Engineering,Daytime,Technological specialization course,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,Yes,Yes,Male,No,34,No,3,7,7,5,14.333333333333334,0,1,6,6,6,14.636363636363637,0,12.4,0.5,1.79,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Engineering,LowSkill,LowSkill,Transfer/Other,1,Married,Portuguese
Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Administrative Staff,No,No,No,Yes,Male,No,34,No,0,6,6,4,12.0,0,0,6,6,3,10.333333333333334,0,13.9,-0.3,0.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Agriculture,LowSkill,Skilled,Unknown,1,Single,Portuguese
Single,2nd phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,19,No,0,5,5,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Armed Forces,Service/Sales/Security,Yes,No,No,Yes,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Arts,ArmedForces,LowSkill,General,1,Single,Portuguese
Married,Over 23 years old,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Other Admin Support,Metal Industry Workers,No,No,No,Yes,Female,No,34,No,0,7,7,4,11.75,0,0,7,7,3,11.725,0,11.1,0.6,2.02,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,Unknown,1,Married,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Bachelor’s Degree,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,19,No,0,7,7,6,12.183333333333332,0,0,7,7,6,12.183333333333332,0,7.6,2.6,0.32,Graduate,HigherEd,Secondary/Technical,Secondary/Technical,Health,LowSkill,Technical,General,1,Single,Portuguese
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,Yes,No,No,No,Male,No,30,No,4,9,9,6,11.833333333333334,0,1,8,8,4,11.0,0,15.5,2.8,-4.06,Dropout,Basic,Secondary/Technical,Secondary/Technical,Agriculture,LowSkill,Skilled,Transfer/Other,1,Single,Portuguese
Married,Change in course,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Service/Sales/Security,Student,No,No,Yes,No,Male,No,34,No,0,4,4,0,0.0,0,0,4,4,0,0.0,0,12.7,3.7,-1.7,Dropout,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,Unemployed,Transfer/Other,1,Married,Portuguese
Single,Ordinance No. 854-B/99,1,Veterinary Nursing,Daytime,Secondary education,Cape Verdean,Bachelor’s Degree,Basic Education 3rd Cycle,Scientific Specialists,Machine Operators,No,No,No,Yes,Female,No,18,Yes,0,6,6,6,15.0,0,0,6,6,5,14.333333333333334,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,HigherEd,Health,Professional,LowSkill,Ordinance,1,Single,Africa
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Arts,LowSkill,Technical,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Cannot read/write,Master’s (2nd cycle),Administrative Staff,Administrative Staff,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Doctorate,Secondary/Technical,Basic,Arts,Skilled,Skilled,General,1,Single,Portuguese
Single,1st phase—general contingent,5,Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,8,13.435,0,0,8,8,8,13.435,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,5,Single,Portuguese
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Bachelor’s Degree,Technical-professional course,Administrative Staff,Technicians & Professionals,Yes,No,No,Yes,Female,No,18,No,0,5,3,4,13.5,2,0,5,2,0,0.0,3,10.8,1.4,1.74,Dropout,Secondary/Technical,Secondary/Technical,HigherEd,Agriculture,Skilled,Technical,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Bachelor’s Degree,Higher Education Degree,Administrative Staff,Machine Operators,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Enrolled,HigherEd,Secondary/Technical,HigherEd,Arts,Skilled,LowSkill,General,1,Single,Portuguese
Single,3rd phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Technicians & Professionals,Yes,No,No,Yes,Female,No,23,No,15,17,17,17,11.5,0,16,17,17,17,12.176470588235292,0,12.4,0.5,1.79,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Arts,Skilled,Technical,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,19,No,0,6,6,2,10.5,0,0,6,6,3,11.0,0,7.6,2.6,0.32,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Communication,Skilled,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Machine Operators,Machine Operators,No,Yes,No,Yes,Female,No,21,No,0,6,6,4,12.0,0,0,6,6,2,11.5,0,11.1,0.6,2.02,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,No,Yes,No,Female,No,18,No,0,6,6,5,12.2,0,0,6,6,4,11.5,0,11.1,0.6,2.02,Dropout,HigherEd,Secondary/Technical,HigherEd,Communication,Professional,Professional,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Other—11th Year,Other—11th Year,Administrative Staff,Legislative/Executive Officers,Yes,Yes,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Secondary_Incomplete,Secondary/Technical,Secondary_Incomplete,Arts,Skilled,ArmedForces,General,1,Single,Portuguese
Single,Short cycle diploma holders,1,Veterinary Nursing,Daytime,Professional higher technical course,Portuguese,Higher Education Degree,Secondary Education,Scientific Specialists,Machine Operators,Yes,No,No,Yes,Female,No,21,No,7,11,11,10,14.5,0,4,9,9,8,14.0,0,8.9,1.4,3.51,Graduate,Secondary/Technical,Secondary/Technical,HigherEd,Health,Professional,LowSkill,Transfer/Other,1,Single,Portuguese
Single,Change in course,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Technicians & Professionals,Student,No,No,Yes,Yes,Female,No,20,No,0,6,6,6,13.333333333333334,0,0,6,6,6,12.666666666666666,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,Technical,Unemployed,Transfer/Other,1,Single,Portuguese
Single,Transfer,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Secondary Education,12th Year—not completed,Administrative Staff,Administrative Staff,No,No,No,Yes,Female,No,24,No,5,11,5,9,12.0,6,4,10,10,9,12.555555555555555,0,9.4,-0.8,-3.12,Graduate,Secondary_Incomplete,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Administrative Staff,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,15.125,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Agriculture,Skilled,Skilled,General,1,Single,Portuguese
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Administrative Staff,Armed Forces,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,13.116666666666667,0,0,7,7,6,13.116666666666667,0,7.6,2.6,0.32,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,Skilled,ArmedForces,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Skilled Industry Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.833333333333334,0,0,6,6,6,11.666666666666666,0,11.1,0.6,2.02,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Communication,Skilled,LowSkill,General,1,Single,Portuguese
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,Portuguese,Secondary Education,Basic Edu 1st Cycle,Administrative Staff,Machine Operators,Yes,No,No,Yes,Female,Yes,20,No,3,6,6,6,13.333333333333334,0,2,6,6,6,14.166666666666666,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,LowSkill,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Master’s Degree,Other—11th Year,Service/Sales/Security,Unskilled Workers,Yes,No,No,Yes,Female,No,18,No,0,7,7,7,13.877142857142855,0,0,8,8,8,15.6625,0,12.4,0.5,1.79,Graduate,Secondary_Incomplete,Secondary/Technical,Doctorate,Health,LowSkill,LowSkill,General,6,Single,Portuguese
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Armed Forces,Yes,No,No,Yes,Female,No,18,No,0,8,8,7,12.944285714285714,0,0,8,8,7,12.944285714285714,0,10.8,1.4,1.74,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,LowSkill,ArmedForces,General,6,Single,Portuguese
Single,2nd phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,Bachelor’s Degree,Basic Education 3rd Cycle,Technicians & Professionals,Unskilled Workers,Yes,No,No,Yes,Female,No,19,No,0,6,6,5,12.333333333333334,0,0,6,6,5,11.0,0,15.5,2.8,-4.06,Enrolled,Basic,Secondary/Technical,HigherEd,Education,Technical,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,No,No,Yes,Female,No,19,No,0,7,7,6,14.266666666666666,0,0,7,7,6,14.266666666666666,0,7.6,2.6,0.32,Graduate,HigherEd,Secondary/Technical,HigherEd,Health,Professional,Professional,General,1,Single,Portuguese
Single,1st phase—general contingent,2,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Administrative Staff,Service/Sales/Security,Yes,No,No,Yes,Female,No,18,No,0,6,6,5,13.0,0,0,6,6,5,14.0,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,HigherEd,Management,Skilled,LowSkill,General,2,Single,Portuguese
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,No,No,Yes,Female,No,20,No,0,8,8,8,12.48375,0,0,8,8,8,12.48375,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,Skilled,General,2,Single,Portuguese
Single,1st phase—general contingent,2,Oral Hygiene,Daytime,Secondary education,Portuguese,Accounting & Admin course,Secondary Education,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,18,No,0,7,7,7,13.428571428571429,0,0,8,8,8,15.3125,0,16.2,0.3,-0.92,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,LowSkill,Technical,General,2,Single,Portuguese
Married,2nd phase—general contingent,3,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Technicians & Professionals,Technicians & Professionals,No,No,Yes,No,Female,No,18,No,0,6,6,3,10.666666666666666,0,0,6,6,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary/Technical,Secondary/Technical,Social,Technical,Technical,General,3,Married,Portuguese
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,Other—11th Year,Other—11th Year,Unskilled Workers,Administrative Staff,Yes,No,No,Yes,Female,No,18,No,0,6,6,5,15.4,0,0,6,6,5,12.2,0,7.6,2.6,0.32,Graduate,Secondary_Incomplete,Secondary/Technical,Secondary_Incomplete,Education,LowSkill,Skilled,General,1,Single,Portuguese
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Administrative Staff,Machine Operators,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,13.45,0,0,7,7,6,13.45,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,LowSkill,General,4,Single,Portuguese
Single,2nd phase—general contingent,5,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Service/Sales/Security,Machine Operators,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,6,12.6,0,0,7,7,6,12.6,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,5,Single,Portuguese
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Armed Forces,Yes,No,No,Yes,Female,No,20,No,0,7,7,7,12.485714285714286,0,0,8,8,8,12.9375,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,ArmedForces,General,4,Single,Portuguese
Single,1st phase—general contingent,2,Communication Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,Yes,22,No,0,6,6,5,10.8,0,0,6,6,5,12.8,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,LowSkill,General,2,Single,Portuguese
Single,Change in course,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Legislative/Executive Officers,Legislative/Executive Officers,No,No,Yes,Yes,Female,No,20,No,0,6,6,5,12.2,0,0,6,6,5,14.6,0,13.9,-0.3,0.79,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Management,ArmedForces,ArmedForces,Transfer/Other,1,Single,Portuguese
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Skilled Industry Workers,Yes,No,No,Yes,Female,No,20,No,2,6,6,5,14.2,0,0,6,6,2,13.5,0,13.9,-0.3,0.79,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,Technical,Skilled,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Machine Operators,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.833333333333334,0,0,6,6,6,14.0,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,2,Single,Portuguese
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Legislative/Executive Officers,No,No,No,Yes,Female,No,18,No,0,6,6,5,12.8,0,0,6,6,3,10.0,0,9.4,-0.8,-3.12,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Education,LowSkill,ArmedForces,General,1,Single,Portuguese
Single,2nd phase—general contingent,3,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Service/Sales/Security,Legislative/Executive Officers,No,No,No,Yes,Female,No,18,No,0,5,5,5,13.2,0,0,5,5,4,12.5,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,ArmedForces,General,3,Single,Portuguese
Single,2nd phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,No,No,Yes,Yes,Female,Yes,18,No,0,6,6,1,14.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,Skilled,Skilled,General,1,Single,Portuguese
