Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,FatherQual,PrevQual,MotherQual,Course_Field,MotherOcc_Simple,FatherOcc_Simple,ApplicationMode_Simple,ApplicationOrder_Simple,MaritalStatus_Simple,Nationality_Simple,Pass Rate (1st Sem),Pass Rate (2nd Sem),Total Approved Units,Total Enrolled Units,Total Evaluated Units,Grade Difference,Load Category,Debt Risk,Tuition Stable,Socioeconomic Stress Score,Financial Hardship,Econ_Disadvantage
Divorced,Change in course,1,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,1,1,Female,0,34,No,0,6,6,4,11.25,0,0,6,6,4,13.75,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Transfer/Other,1,Separated/Divorced,Portuguese,0.6666666666666666,0.6666666666666666,8,12,12,2.5,Low Load,0,0,13.6,-0.37974683544303794,1
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,No,0,0,1,Female,0,18,No,0,5,5,5,12.6,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,HigherEd,Secondary/Technical,HigherEd,Health,Professional,Professional,General,1,Single,Portuguese,1.0,1.0,10,10,10,-1.0,Low Load,0,0,10.2,8.125,0
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,6,6,6,12.666666666666666,0,0,6,6,6,11.833333333333334,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Unknown,1,Married,Portuguese,1.0,1.0,12,12,12,-0.8333333333333321,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,Change in course,1,Basic Education,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Farmers/Ag Workers,Farmers/Ag Workers,No,0,1,1,Female,0,34,No,20,21,21,21,12.333333333333334,0,19,19,19,19,12.105263157894736,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Education,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,1.0,1.0,40,40,40,-0.22807017543859764,Full Load,0,0,12.9,0.27932960893854747,1
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Service/Sales/Security,Service/Sales/Security,Yes,0,0,1,Female,1,22,No,0,6,6,5,12.0,0,0,6,6,5,11.0,0,7.6,2.6,0.32,Dropout,Secondary/Technical,Secondary/Technical,Secondary/Technical,Communication,LowSkill,LowSkill,General,2,Single,Portuguese,0.8333333333333334,0.8333333333333334,10,12,12,-1.0,Low Load,0,0,10.2,8.125,1
Divorced,Over 23 years old,1,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,5,5,5,16.4,0,0,5,5,5,16.6,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Separated/Divorced,Portuguese,1.0,1.0,10,10,10,0.20000000000000284,Low Load,0,0,10.2,8.125,0
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Other Situation,Other Situation,No,0,0,1,Female,0,34,No,0,1,0,0,0.0,1,0,6,6,0,0.0,0,10.8,1.4,1.74,Dropout,Basic,Basic,HigherEd,Social,Unemployed,Unemployed,Unknown,1,Married,Portuguese,0.0,0.0,0,7,6,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,6,6,6,12.75,0,0,6,6,4,14.75,0,13.9,-0.3,0.79,Graduate,Basic,Basic,Secondary/Technical,Agriculture,LowSkill,LowSkill,Unknown,1,Single,Portuguese,1.0,0.6666666666666666,10,12,12,2.0,Low Load,0,0,13.6,-0.37974683544303794,0
Married,Over 23 years old,1,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Armed Forces,No,0,0,1,Female,0,34,No,0,5,4,4,14.5,1,0,5,5,5,13.0,0,9.4,-0.8,-3.12,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,ArmedForces,Unknown,1,Married,Portuguese,0.8,1.0,9,10,9,-1.5,Low Load,0,0,8.6,0.25641025641025644,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,5,5,5,14.8,0,0,5,5,5,14.4,0,7.6,2.6,0.32,Graduate,Basic,Basic,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Married,Portuguese,1.0,1.0,10,10,10,-0.40000000000000036,Low Load,0,0,10.2,8.125,0
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Higher education—degree,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,No,0,0,1,Female,0,22,No,12,17,17,17,10.36842105263158,0,14,17,17,17,11.5,0,11.1,0.6,2.02,Graduate,HigherEd,HigherEd,HigherEd,Arts,Professional,Professional,General,1,Single,Portuguese,1.0,1.0,34,34,34,1.1315789473684195,Medium Load,0,0,11.7,0.297029702970297,0
Married,Over 23 years old,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,No,0,0,1,Female,0,34,No,0,7,7,0,0.0,0,0,8,8,0,0.0,0,10.8,1.4,1.74,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Unknown,1,Married,Portuguese,0.0,0.0,0,15,15,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Married,Change in course,1,Management (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Farmers/Ag Workers,No,0,0,1,Female,0,28,No,6,10,10,6,10.666666666666666,0,5,10,9,9,11.333333333333334,1,7.6,2.6,0.32,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Transfer/Other,1,Married,Portuguese,0.6,0.9,15,20,19,0.6666666666666679,Medium Load,0,0,10.2,8.125,0
Facto Union,Transfer,1,Tourism,Daytime,Higher education—bachelor’s degree,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,No,0,0,1,Female,0,32,No,9,15,15,13,12.692307692307692,0,12,15,15,13,12.384615384615383,0,10.8,1.4,1.74,Graduate,Basic,HigherEd,Secondary/Technical,Management,Skilled,LowSkill,Transfer/Other,1,Facto Union,Portuguese,0.8666666666666667,0.8666666666666667,26,30,30,-0.3076923076923084,Medium Load,0,0,12.200000000000001,0.8045977011494252,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Other—11th year,Portuguese,Administration & Commerce course,Unknown,Other Situation,Other Situation,Yes,0,0,1,Female,0,34,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Unknown,Secondary_Incomplete,Secondary/Technical,Management,Unemployed,Unemployed,Unknown,1,Married,Portuguese,0.0,0.0,0,10,10,0.0,Low Load,0,0,10.2,8.125,0
Single,Change in institution/course,1,Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Unskilled Workers,Armed Forces,No,0,0,1,Female,0,34,No,14,15,15,15,11.8,0,12,13,12,12,11.666666666666666,1,8.9,1.4,3.51,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,ArmedForces,Transfer/Other,1,Single,Portuguese,1.0,0.9230769230769231,27,28,27,-0.13333333333333464,Medium Load,0,0,10.3,0.39886039886039887,0
Single,Over 23 years old,1,Oral Hygiene,Daytime,Secondary education,Spanish,Higher Education Degree,Higher Education Degree,Administrative Staff,Administrative Staff,No,0,1,0,Female,0,34,Yes,0,7,7,0,0.0,0,0,5,5,0,0.0,0,12.4,0.5,1.79,Dropout,HigherEd,Secondary/Technical,HigherEd,Health,Skilled,Skilled,Unknown,1,Single,Europe,0.0,0.0,0,12,12,0.0,Low Load,0,0,12.9,0.27932960893854747,2
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,0,0,1,Female,0,34,No,0,6,6,5,12.333333333333334,0,0,6,6,4,11.5,0,13.9,-0.3,0.79,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,Skilled,Unknown,1,Single,Portuguese,0.8333333333333334,0.6666666666666666,9,12,12,-0.8333333333333339,Low Load,0,0,13.6,-0.37974683544303794,0
Married,Transfer,1,Basic Education,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Administrative Staff,Skilled Industry Workers,No,0,0,1,Female,0,34,No,6,12,12,11,13.0,0,4,13,13,8,11.875,0,12.7,3.7,-1.7,Dropout,Basic,Secondary/Technical,Secondary/Technical,Education,Skilled,Skilled,Transfer/Other,1,Married,Portuguese,0.9166666666666666,0.6153846153846154,19,25,25,-1.125,Medium Load,0,0,16.4,-2.1764705882352944,0
Divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Skilled Industry Workers,No,0,0,1,Female,0,34,No,0,6,6,4,12.5,0,0,6,6,3,11.666666666666666,0,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,Skilled,Unknown,1,Separated/Divorced,Portuguese,0.6666666666666666,0.5,7,12,12,-0.8333333333333339,Low Load,0,0,16.5,-0.3260869565217391,0
Divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,0,0,1,Female,1,34,No,0,6,6,5,12.2,0,0,6,6,4,11.25,0,12.4,0.5,1.79,Graduate,Basic,Basic,Secondary/Technical,Social,LowSkill,Skilled,Unknown,1,Separated/Divorced,Portuguese,0.8333333333333334,0.6666666666666666,9,12,12,-0.9499999999999993,Low Load,0,0,12.9,0.27932960893854747,1
Single,Change in course,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Service/Sales/Security,Service/Sales/Security,Yes,0,0,1,Female,0,22,No,5,10,10,8,11.0,0,2,7,7,5,11.2,0,9.4,-0.8,-3.12,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,0.8,0.7142857142857143,13,17,17,0.1999999999999993,Low Load,0,0,8.6,0.25641025641025644,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,33,No,0,5,5,1,10.0,0,0,5,5,2,12.0,0,12.4,0.5,1.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Married,Portuguese,0.2,0.4,3,10,10,2.0,Low Load,0,0,12.9,0.27932960893854747,0
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,1,34,No,0,6,6,6,12.333333333333334,0,0,6,6,6,11.5,0,8.9,1.4,3.51,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Unknown,1,Married,Portuguese,1.0,1.0,12,12,12,-0.8333333333333339,Low Load,0,0,10.3,0.39886039886039887,1
Single,Holders of other higher courses,1,Agronomy,Daytime,Higher education—degree,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Farmers/Ag Workers,Farmers/Ag Workers,No,0,0,1,Female,0,34,No,9,13,13,13,14.307692307692308,0,5,12,12,12,15.23076923076923,0,15.5,2.8,-4.06,Graduate,Basic,HigherEd,Secondary/Technical,Agriculture,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,1.0,1.0,25,25,25,0.9230769230769216,Medium Load,0,0,18.3,-0.6896551724137931,0
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Higher education—bachelor’s degree,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Service/Sales/Security,Skilled Industry Workers,No,0,0,1,Female,0,34,No,7,11,11,11,14.454545454545457,0,6,8,8,8,13.5,0,12.7,3.7,-1.7,Graduate,Basic,HigherEd,Secondary/Technical,Social,LowSkill,Skilled,Unknown,1,Single,Portuguese,1.0,1.0,19,19,19,-0.9545454545454568,Low Load,0,0,16.4,-2.1764705882352944,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,5,5,5,11.0,0,0,5,5,5,13.2,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Married,Portuguese,1.0,1.0,10,10,10,2.1999999999999993,Low Load,0,0,10.2,8.125,0
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,1,18,No,0,6,6,6,13.142857142857142,0,0,6,6,6,12.833333333333334,0,15.5,2.8,-4.06,Graduate,Basic,Secondary/Technical,Secondary/Technical,Education,LowSkill,LowSkill,General,1,Single,Portuguese,1.0,1.0,12,12,12,-0.3095238095238084,Low Load,0,0,18.3,-0.6896551724137931,1
Single,2nd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,0,0,1,Female,1,19,No,0,6,6,6,13.75,0,0,6,6,6,11.857142857142858,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,Skilled,General,1,Single,Portuguese,1.0,1.0,12,12,12,-1.8928571428571423,Low Load,0,0,16.5,-0.3260869565217391,1
Single,2nd phase—general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Education 3rd Cycle,Unskilled Workers,Farmers/Ag Workers,Yes,0,0,1,Female,1,18,No,0,6,6,6,14.0,0,0,6,6,5,13.8,0,8.9,1.4,3.51,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,4,Single,Portuguese,1.0,0.8333333333333334,11,12,12,-0.1999999999999993,Low Load,0,0,10.3,0.39886039886039887,1
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Other—11th year,Portuguese,2nd cycle general high school,Unknown,Student,Student,No,0,0,1,Female,0,34,No,5,8,8,8,13.75,0,2,6,6,6,12.5,0,7.6,2.6,0.32,Graduate,Unknown,Secondary_Incomplete,Secondary/Technical,Social,Unemployed,Unemployed,Unknown,1,Married,Portuguese,1.0,1.0,14,14,14,-1.25,Low Load,0,0,10.2,8.125,0
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Higher Education Degree,Secondary Education,Technicians & Professionals,Unskilled Workers,No,0,0,1,Female,0,27,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.4,0.5,1.79,Dropout,Secondary/Technical,Secondary/Technical,HigherEd,Management,Technical,LowSkill,Unknown,1,Single,Portuguese,0.0,0.0,0,10,10,0.0,Low Load,0,0,12.9,0.27932960893854747,0
Single,1st phase—general contingent,2,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Skilled Industry Workers,Yes,0,0,1,Female,1,18,No,0,6,6,6,13.166666666666666,0,0,6,6,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,Skilled,Skilled,General,2,Single,Portuguese,1.0,1.0,12,12,12,-0.7380952380952372,Low Load,0,0,10.3,0.39886039886039887,1
Married,Change in course,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,2nd cycle general high school,Unknown,Student,Student,No,0,0,1,Female,0,34,No,10,12,9,9,12.444444444444445,3,4,7,7,6,12.0,0,9.4,-0.8,-3.12,Dropout,Unknown,Secondary/Technical,Secondary/Technical,Social,Unemployed,Unemployed,Transfer/Other,1,Married,Portuguese,0.75,0.8571428571428571,15,19,16,-0.44444444444444464,Low Load,0,0,8.6,0.25641025641025644,0
Single,2nd phase—general contingent,4,Basic Education,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,0,0,1,Female,0,20,No,0,6,6,6,12.666666666666666,0,0,6,6,5,13.0,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Education,LowSkill,LowSkill,General,4,Single,Portuguese,1.0,0.8333333333333334,11,12,12,0.3333333333333339,Low Load,0,0,10.2,8.125,0
Married,1st phase—general contingent,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,6,6,6,11.333333333333334,0,0,6,6,6,10.5,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Married,Portuguese,1.0,1.0,12,12,12,-0.8333333333333339,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Farmers/Ag Workers,Farmers/Ag Workers,No,0,0,1,Female,0,34,No,0,5,5,4,11.25,0,0,5,5,5,12.0,0,13.9,-0.3,0.79,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Single,Portuguese,0.8,1.0,9,10,10,0.75,Low Load,0,0,13.6,-0.37974683544303794,0
Single,Change in course,1,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,No,0,0,1,Female,0,18,No,0,7,7,7,13.6125,0,0,8,8,8,14.575,0,13.9,-0.3,0.79,Graduate,HigherEd,Secondary/Technical,HigherEd,Health,Professional,Professional,Transfer/Other,1,Single,Portuguese,1.0,1.0,15,15,15,0.9624999999999986,Low Load,0,0,13.6,-0.37974683544303794,0
Single,3rd phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Technicians & Professionals,Machine Operators,Yes,0,0,1,Female,0,21,No,0,8,8,7,12.414285714285716,0,0,8,8,7,12.414285714285716,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,HigherEd,Health,Technical,LowSkill,General,6,Single,Portuguese,0.875,0.875,14,16,16,0.0,Low Load,0,0,16.4,-2.1764705882352944,0
Single,2nd phase—general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Bachelor’s Degree,Secondary Education,Technicians & Professionals,Technicians & Professionals,Yes,0,0,1,Female,0,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate,Secondary/Technical,Secondary/Technical,HigherEd,Arts,Technical,Technical,General,2,Single,Portuguese,0.0,0.0,0,0,0,0.0,Low Load,0,0,8.6,0.25641025641025644,0
Married,Change in course,1,Management (evening attendance),Evening,Higher education—bachelor’s degree,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Machine Operators,No,0,0,1,Female,0,34,No,8,12,12,11,11.5,0,7,12,12,12,11.4375,0,9.4,-0.8,-3.12,Enrolled,Basic,HigherEd,Secondary/Technical,Management,LowSkill,LowSkill,Transfer/Other,1,Married,Portuguese,0.9166666666666666,1.0,23,24,24,-0.0625,Medium Load,0,0,8.6,0.25641025641025644,0
Married,Holders of other higher courses,1,Social Service (evening attendance),Evening,Higher education—degree,Portuguese,General commerce course,Basic Education 3rd Cycle,Administrative Staff,Administrative Staff,No,0,0,1,Female,0,27,No,0,5,5,0,0.0,0,0,6,6,0,0.0,0,9.4,-0.8,-3.12,Dropout,Basic,HigherEd,Secondary/Technical,Social,Skilled,Skilled,Transfer/Other,1,Married,Portuguese,0.0,0.0,0,11,11,0.0,Low Load,0,0,8.6,0.25641025641025644,0
Married,Over 23 years old,1,Oral Hygiene,Daytime,Secondary education,Spanish,Accounting & Admin course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,32,Yes,0,7,7,7,11.0,0,0,8,8,8,13.125,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Unknown,1,Married,Europe,1.0,1.0,15,15,15,2.125,Low Load,0,0,16.4,-2.1764705882352944,0
Single,2nd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Technicians & Professionals,Yes,0,0,1,Female,1,18,No,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,Technical,Technical,General,1,Single,Portuguese,1.0,1.0,12,12,12,-0.5,Low Load,0,0,10.3,0.39886039886039887,1
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,0,0,1,Female,0,34,No,0,6,6,4,12.0,0,0,6,6,3,12.0,0,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,Skilled,Unknown,1,Single,Portuguese,0.6666666666666666,0.5,7,12,12,0.0,Low Load,0,0,16.5,-0.3260869565217391,0
Single,2nd phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher Education Degree,Secondary Education,Scientific Specialists,Technicians & Professionals,Yes,0,0,1,Female,0,19,No,0,6,6,6,12.5,0,0,6,6,6,12.5,0,10.8,1.4,1.74,Graduate,Secondary/Technical,Secondary/Technical,HigherEd,Communication,Professional,Technical,General,1,Single,Portuguese,1.0,1.0,12,12,12,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Divorced,Over 23 years old,2,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Service/Sales/Security,No,0,0,1,Female,1,34,No,0,6,6,6,11.333333333333334,0,0,6,6,6,11.333333333333334,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,LowSkill,Unknown,2,Separated/Divorced,Portuguese,1.0,1.0,12,12,12,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,1
Married,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,No,0,0,1,Female,1,18,No,0,7,7,6,14.066666666666668,0,0,7,7,6,14.066666666666668,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,LowSkill,General,4,Married,Portuguese,0.8571428571428571,0.8571428571428571,12,14,14,0.0,Low Load,0,0,10.2,8.125,1
Single,Change in course,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Other Situation,Other Situation,No,0,0,1,Female,0,21,No,2,9,9,8,13.555555555555555,0,2,7,7,7,13.571428571428571,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Unemployed,Unemployed,Transfer/Other,1,Single,Portuguese,0.8888888888888888,1.0,15,16,16,0.015873015873015817,Low Load,0,0,10.2,8.125,0
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Technicians & Professionals,Unskilled Workers,Yes,0,1,0,Female,0,23,No,0,6,6,5,11.6,0,0,6,6,4,12.25,0,12.4,0.5,1.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Agriculture,Technical,LowSkill,Transfer/Other,1,Single,Portuguese,0.8333333333333334,0.6666666666666666,9,12,12,0.6500000000000004,Low Load,0,0,12.9,0.27932960893854747,2
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Technicians & Professionals,Yes,0,0,1,Female,0,18,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout,Secondary/Technical,Secondary/Technical,Secondary/Technical,Communication,Technical,Technical,General,2,Single,Portuguese,0.0,0.0,0,12,12,0.0,Low Load,0,0,13.6,-0.37974683544303794,0
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Administrative Staff,Administrative Staff,Yes,0,0,1,Female,0,18,No,0,8,8,8,13.27625,0,0,8,8,8,13.27625,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,6,Single,Portuguese,1.0,1.0,16,16,16,0.0,Low Load,0,0,8.6,0.25641025641025644,0
Single,Change in course,4,Veterinary Nursing,Daytime,Secondary education,Portuguese,2nd cycle general high school,Unknown,Blank,Blank,No,0,0,1,Female,0,21,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,7.6,2.6,0.32,Dropout,Unknown,Secondary/Technical,Secondary/Technical,Health,Unemployed,Unemployed,Transfer/Other,4,Single,Portuguese,0.0,0.0,0,12,12,0.0,Low Load,0,0,10.2,8.125,0
Single,1st phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,Basic Education 3rd Cycle,8th year,Student,Machine Operators,Yes,0,0,1,Female,0,19,No,0,6,6,6,14.375,0,0,6,6,6,14.75,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Basic,Social,Unemployed,LowSkill,General,2,Single,Portuguese,1.0,1.0,12,12,12,0.375,Low Load,0,0,10.2,8.125,0
Legally Separated,Over 23 years old,2,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,2,Separated/Divorced,Portuguese,0.0,0.0,0,10,10,0.0,Low Load,0,0,8.6,0.25641025641025644,0
